CustomerID,Age Group,Income Level,Region,Purchase Frequency,Health Preference,Brand Recall,Snack Perception
1,45-54,Medium,East,Rarely,Organic,NourishAI,A way to try new flavors and ingredients.
2,25-34,Low,East,Weekly,Vegan,NourishAI,Something crunchy and tasty to enjoy.
3,35-44,Medium,North,Monthly,No preference,Competitor A,A quick energy boost during work.
4,65+,High,East,Never,Vegan,No preference,Something crunchy and tasty to enjoy.
5,55-64,Low,North,Monthly,Organic,Competitor B,Something crunchy and tasty to enjoy.
6,65+,Medium,South,Monthly,Vegan,Competitor B,Something crunchy and tasty to enjoy.
7,18-24,Medium,South,Monthly,No preference,NourishAI,A way to try new flavors and ingredients.
8,18-24,Medium,East,Monthly,Gluten-free,Competitor B,A way to try new flavors and ingredients.
9,65+,Low,South,Monthly,Organic,Competitor C,A guilty pleasure for movie nights.
10,35-44,High,South,Daily,High-protein,NourishAI,A guilty pleasure for movie nights.
11,65+,High,North,Monthly,Vegan,Competitor A,A healthy alternative to junk food.
12,25-34,Low,North,Weekly,No preference,Competitor C,A healthy alternative to junk food.
13,25-34,Low,West,Weekly,Gluten-free,Competitor A,Something crunchy and tasty to enjoy.
14,55-64,Low,North,Weekly,Organic,Competitor B,A healthy alternative to junk food.
15,18-24,Medium,West,Weekly,High-protein,Competitor C,Something crunchy and tasty to enjoy.
16,18-24,Low,West,Rarely,Gluten-free,Competitor A,A quick energy boost during work.
17,35-44,High,North,Weekly,Organic,NourishAI,Something crunchy and tasty to enjoy.
18,55-64,Medium,North,Rarely,Gluten-free,NourishAI,Something crunchy and tasty to enjoy.
19,25-34,Low,East,Daily,Low-calorie,Competitor B,A healthy alternative to junk food.
20,18-24,Low,North,Monthly,Gluten-free,NourishAI,A quick energy boost during work.
21,55-64,High,South,Rarely,Gluten-free,Competitor A,A way to try new flavors and ingredients.
22,55-64,Low,West,Monthly,No preference,Competitor B,Something crunchy and tasty to enjoy.
23,45-54,Low,North,Monthly,No preference,Competitor A,A quick energy boost during work.
24,55-64,High,South,Rarely,Gluten-free,NourishAI,A way to try new flavors and ingredients.
25,45-54,Medium,East,Monthly,Gluten-free,Competitor A,Something crunchy and tasty to enjoy.
26,35-44,Medium,West,Weekly,Low-calorie,Competitor C,A guilty pleasure for movie nights.
27,35-44,Medium,East,Weekly,Vegan,Competitor A,A way to try new flavors and ingredients.
28,35-44,High,North,Weekly,No preference,Competitor A,A guilty pleasure for movie nights.
29,45-54,Low,West,Weekly,Low-calorie,NourishAI,A way to try new flavors and ingredients.
30,55-64,Medium,East,Weekly,Organic,NourishAI,Something crunchy and tasty to enjoy.
31,45-54,Low,West,Daily,No preference,NourishAI,A healthy alternative to junk food.
32,45-54,High,West,Weekly,Vegan,NourishAI,A guilty pleasure for movie nights.
33,35-44,Medium,West,Monthly,Organic,Competitor A,Something crunchy and tasty to enjoy.
34,45-54,Medium,South,Monthly,Low-calorie,Competitor A,Something crunchy and tasty to enjoy.
35,35-44,Medium,North,Never,Organic,Competitor C,A way to try new flavors and ingredients.
36,55-64,High,North,Weekly,High-protein,NourishAI,A way to try new flavors and ingredients.
37,45-54,High,South,Daily,Low-calorie,Competitor C,A way to try new flavors and ingredients.
38,35-44,High,East,Rarely,Low-calorie,No preference,Something crunchy and tasty to enjoy.
39,18-24,Low,South,Monthly,No preference,Competitor C,A guilty pleasure for movie nights.
40,65+,Medium,West,Monthly,Organic,Competitor A,A guilty pleasure for movie nights.
41,18-24,Medium,North,Daily,Low-calorie,Competitor C,A guilty pleasure for movie nights.
42,65+,High,South,Rarely,High-protein,NourishAI,A quick energy boost during work.
43,25-34,High,North,Weekly,Organic,Competitor A,A guilty pleasure for movie nights.
44,55-64,Medium,South,Rarely,Low-calorie,Competitor B,A healthy alternative to junk food.
45,25-34,Medium,North,Daily,Low-calorie,NourishAI,A guilty pleasure for movie nights.
46,55-64,Low,South,Rarely,Low-calorie,Competitor A,A quick energy boost during work.
47,35-44,Medium,West,Weekly,Gluten-free,NourishAI,A way to try new flavors and ingredients.
48,65+,Low,South,Weekly,Low-calorie,Competitor B,Something crunchy and tasty to enjoy.
49,35-44,Low,South,Monthly,Gluten-free,NourishAI,A quick energy boost during work.
50,65+,High,South,Monthly,Gluten-free,Competitor A,A quick energy boost during work.
51,18-24,High,East,Daily,High-protein,NourishAI,Something crunchy and tasty to enjoy.
52,55-64,High,North,Daily,Organic,NourishAI,Something crunchy and tasty to enjoy.
53,35-44,Low,West,Weekly,Vegan,Competitor B,A healthy alternative to junk food.
54,25-34,High,East,Rarely,Organic,Competitor B,Something crunchy and tasty to enjoy.
55,65+,Low,South,Never,Low-calorie,Competitor B,A guilty pleasure for movie nights.
56,25-34,Medium,East,Daily,High-protein,Competitor A,A guilty pleasure for movie nights.
57,35-44,High,East,Rarely,High-protein,Competitor B,A quick energy boost during work.
58,55-64,Medium,East,Rarely,Vegan,Competitor A,A healthy alternative to junk food.
59,45-54,High,North,Never,High-protein,Competitor A,A quick energy boost during work.
60,35-44,Medium,South,Monthly,Organic,Competitor C,A way to try new flavors and ingredients.
61,35-44,Medium,North,Daily,Gluten-free,Competitor B,A way to try new flavors and ingredients.
62,18-24,Low,West,Rarely,Gluten-free,Competitor C,Something crunchy and tasty to enjoy.
63,55-64,Low,West,Monthly,Vegan,Competitor B,A guilty pleasure for movie nights.
64,18-24,Medium,East,Weekly,No preference,Competitor C,A healthy alternative to junk food.
65,65+,High,West,Monthly,Organic,Competitor B,A healthy alternative to junk food.
66,18-24,High,West,Rarely,Organic,Competitor B,A healthy alternative to junk food.
67,45-54,Medium,South,Monthly,Organic,Competitor A,A healthy alternative to junk food.
68,65+,Low,North,Daily,Gluten-free,NourishAI,A quick energy boost during work.
69,35-44,Low,South,Monthly,Organic,Competitor B,A quick energy boost during work.
70,45-54,Low,East,Rarely,No preference,NourishAI,A quick energy boost during work.
71,45-54,Low,North,Weekly,Vegan,No preference,A healthy alternative to junk food.
72,25-34,High,East,Rarely,No preference,NourishAI,A healthy alternative to junk food.
73,55-64,Low,South,Rarely,Low-calorie,Competitor A,A healthy alternative to junk food.
74,25-34,High,East,Rarely,No preference,NourishAI,A guilty pleasure for movie nights.
75,45-54,Medium,North,Daily,Organic,Competitor C,A quick energy boost during work.
76,35-44,Medium,East,Rarely,Organic,No preference,A guilty pleasure for movie nights.
77,45-54,Medium,West,Rarely,High-protein,Competitor C,A quick energy boost during work.
78,35-44,High,South,Daily,Vegan,NourishAI,A quick energy boost during work.
79,35-44,High,North,Rarely,Vegan,NourishAI,A quick energy boost during work.
80,55-64,Medium,South,Rarely,Vegan,Competitor C,A guilty pleasure for movie nights.
81,25-34,High,West,Monthly,Low-calorie,Competitor C,A quick energy boost during work.
82,55-64,Medium,East,Monthly,Gluten-free,Competitor B,A way to try new flavors and ingredients.
83,45-54,High,East,Monthly,Gluten-free,NourishAI,A quick energy boost during work.
84,25-34,High,East,Monthly,Vegan,Competitor B,A guilty pleasure for movie nights.
85,55-64,High,West,Rarely,Gluten-free,Competitor C,A guilty pleasure for movie nights.
86,25-34,Medium,South,Monthly,Gluten-free,NourishAI,A way to try new flavors and ingredients.
87,25-34,High,South,Monthly,Low-calorie,Competitor B,A way to try new flavors and ingredients.
88,25-34,High,South,Weekly,Vegan,Competitor A,A way to try new flavors and ingredients.
89,25-34,High,South,Monthly,No preference,NourishAI,A healthy alternative to junk food.
90,65+,Medium,West,Never,Vegan,Competitor C,A guilty pleasure for movie nights.
91,35-44,Low,West,Daily,Organic,NourishAI,Something crunchy and tasty to enjoy.
92,55-64,High,West,Monthly,Organic,No preference,A quick energy boost during work.
93,65+,High,South,Weekly,No preference,NourishAI,A healthy alternative to junk food.
94,18-24,Medium,North,Weekly,No preference,Competitor A,Something crunchy and tasty to enjoy.
95,45-54,Low,East,Weekly,Gluten-free,No preference,A guilty pleasure for movie nights.
96,55-64,High,South,Rarely,Vegan,NourishAI,Something crunchy and tasty to enjoy.
97,25-34,Medium,East,Monthly,High-protein,NourishAI,A healthy alternative to junk food.
98,45-54,Medium,North,Monthly,Vegan,Competitor B,A quick energy boost during work.
99,65+,High,North,Rarely,Low-calorie,NourishAI,A guilty pleasure for movie nights.
100,35-44,High,West,Weekly,Low-calorie,NourishAI,A guilty pleasure for movie nights.
101,65+,Medium,East,Never,Vegan,No preference,A way to try new flavors and ingredients.
102,25-34,High,East,Weekly,Gluten-free,No preference,A healthy alternative to junk food.
103,25-34,Low,South,Monthly,Low-calorie,No preference,A quick energy boost during work.
104,55-64,High,South,Weekly,Vegan,NourishAI,A way to try new flavors and ingredients.
105,35-44,Low,East,Monthly,Vegan,NourishAI,A healthy alternative to junk food.
106,25-34,High,North,Never,Low-calorie,NourishAI,A guilty pleasure for movie nights.
107,25-34,Medium,West,Weekly,Organic,NourishAI,Something crunchy and tasty to enjoy.
108,18-24,Medium,West,Monthly,Low-calorie,Competitor B,A way to try new flavors and ingredients.
109,45-54,Medium,West,Weekly,Gluten-free,Competitor A,Something crunchy and tasty to enjoy.
110,55-64,Medium,North,Monthly,Vegan,Competitor B,A way to try new flavors and ingredients.
111,55-64,Low,West,Rarely,No preference,No preference,A healthy alternative to junk food.
112,55-64,High,South,Rarely,Gluten-free,NourishAI,A guilty pleasure for movie nights.
113,35-44,High,South,Monthly,No preference,NourishAI,A way to try new flavors and ingredients.
114,45-54,Low,East,Never,High-protein,NourishAI,A way to try new flavors and ingredients.
115,18-24,Medium,East,Monthly,Gluten-free,Competitor C,Something crunchy and tasty to enjoy.
116,35-44,Low,South,Daily,No preference,NourishAI,A quick energy boost during work.
117,45-54,Low,South,Daily,Vegan,No preference,A healthy alternative to junk food.
118,45-54,Low,South,Rarely,Gluten-free,NourishAI,A healthy alternative to junk food.
119,65+,High,North,Rarely,High-protein,Competitor C,A way to try new flavors and ingredients.
120,35-44,Medium,West,Never,Low-calorie,Competitor A,Something crunchy and tasty to enjoy.
121,25-34,High,West,Monthly,Organic,Competitor B,A quick energy boost during work.
122,45-54,Medium,South,Daily,Low-calorie,Competitor A,A guilty pleasure for movie nights.
123,25-34,Low,South,Rarely,Organic,Competitor B,A healthy alternative to junk food.
124,25-34,Medium,East,Weekly,Low-calorie,No preference,Something crunchy and tasty to enjoy.
125,55-64,Medium,East,Rarely,Organic,No preference,A healthy alternative to junk food.
126,25-34,Low,West,Rarely,Gluten-free,No preference,A healthy alternative to junk food.
127,65+,High,North,Never,No preference,No preference,A guilty pleasure for movie nights.
128,65+,Low,South,Monthly,High-protein,NourishAI,A guilty pleasure for movie nights.
129,65+,Low,West,Monthly,Vegan,Competitor B,A quick energy boost during work.
130,35-44,Low,East,Monthly,Vegan,NourishAI,A guilty pleasure for movie nights.
131,18-24,Low,East,Weekly,Low-calorie,No preference,A guilty pleasure for movie nights.
132,45-54,Medium,North,Daily,High-protein,Competitor A,A way to try new flavors and ingredients.
133,18-24,High,North,Weekly,Vegan,NourishAI,A healthy alternative to junk food.
134,18-24,Medium,East,Monthly,No preference,NourishAI,A quick energy boost during work.
135,45-54,Low,West,Weekly,Organic,NourishAI,A way to try new flavors and ingredients.
136,25-34,Medium,East,Monthly,Low-calorie,NourishAI,A healthy alternative to junk food.
137,65+,High,North,Weekly,Vegan,Competitor B,A way to try new flavors and ingredients.
138,18-24,Low,North,Weekly,Organic,NourishAI,A quick energy boost during work.
139,35-44,Low,South,Rarely,Low-calorie,Competitor C,A way to try new flavors and ingredients.
140,45-54,Medium,East,Weekly,High-protein,NourishAI,A healthy alternative to junk food.
141,35-44,Medium,West,Monthly,Gluten-free,NourishAI,A quick energy boost during work.
142,55-64,High,North,Monthly,Low-calorie,NourishAI,A quick energy boost during work.
143,65+,Low,East,Monthly,Organic,Competitor C,A quick energy boost during work.
144,18-24,Medium,North,Weekly,Low-calorie,NourishAI,A guilty pleasure for movie nights.
145,45-54,Medium,West,Monthly,High-protein,Competitor C,A healthy alternative to junk food.
146,65+,Low,West,Daily,No preference,Competitor B,Something crunchy and tasty to enjoy.
147,55-64,Low,East,Rarely,Vegan,Competitor B,A quick energy boost during work.
148,35-44,Medium,East,Monthly,Vegan,NourishAI,A way to try new flavors and ingredients.
149,45-54,High,South,Daily,Vegan,Competitor A,A quick energy boost during work.
150,55-64,Medium,West,Rarely,High-protein,Competitor B,A quick energy boost during work.
151,65+,Medium,West,Daily,Organic,NourishAI,A way to try new flavors and ingredients.
152,65+,Medium,North,Rarely,Organic,NourishAI,A quick energy boost during work.
153,35-44,Low,South,Weekly,Organic,Competitor B,A way to try new flavors and ingredients.
154,25-34,Medium,West,Rarely,Gluten-free,NourishAI,A quick energy boost during work.
155,45-54,Medium,South,Rarely,Low-calorie,No preference,A quick energy boost during work.
156,45-54,Low,South,Weekly,No preference,NourishAI,A way to try new flavors and ingredients.
157,45-54,High,South,Monthly,Low-calorie,Competitor A,Something crunchy and tasty to enjoy.
158,45-54,High,West,Daily,Low-calorie,Competitor A,Something crunchy and tasty to enjoy.
159,35-44,High,West,Never,Vegan,No preference,Something crunchy and tasty to enjoy.
160,25-34,Low,West,Rarely,Gluten-free,NourishAI,A healthy alternative to junk food.
161,65+,Low,East,Monthly,Vegan,Competitor B,A quick energy boost during work.
162,18-24,Medium,East,Daily,High-protein,NourishAI,A quick energy boost during work.
163,35-44,Medium,West,Weekly,Gluten-free,Competitor A,A guilty pleasure for movie nights.
164,35-44,High,West,Monthly,Organic,Competitor B,Something crunchy and tasty to enjoy.
165,18-24,Medium,South,Monthly,Gluten-free,NourishAI,A healthy alternative to junk food.
166,55-64,Medium,South,Rarely,Gluten-free,Competitor B,A quick energy boost during work.
167,18-24,Medium,East,Monthly,Low-calorie,NourishAI,Something crunchy and tasty to enjoy.
168,25-34,Medium,West,Monthly,No preference,Competitor C,A guilty pleasure for movie nights.
169,18-24,Medium,East,Monthly,High-protein,No preference,A guilty pleasure for movie nights.
170,18-24,Medium,East,Daily,No preference,NourishAI,A quick energy boost during work.
171,25-34,Low,South,Monthly,High-protein,NourishAI,A way to try new flavors and ingredients.
172,65+,Medium,East,Weekly,No preference,Competitor A,Something crunchy and tasty to enjoy.
173,25-34,High,North,Weekly,No preference,NourishAI,A guilty pleasure for movie nights.
174,55-64,Medium,West,Monthly,Low-calorie,NourishAI,A guilty pleasure for movie nights.
175,25-34,High,West,Daily,High-protein,Competitor A,A quick energy boost during work.
176,18-24,Low,North,Weekly,No preference,Competitor A,A quick energy boost during work.
177,65+,High,North,Monthly,Low-calorie,Competitor B,A way to try new flavors and ingredients.
178,35-44,High,North,Rarely,Gluten-free,No preference,Something crunchy and tasty to enjoy.
179,65+,Low,East,Weekly,Gluten-free,Competitor A,Something crunchy and tasty to enjoy.
180,45-54,Low,East,Rarely,No preference,Competitor A,A way to try new flavors and ingredients.
181,25-34,Medium,North,Daily,No preference,Competitor A,A way to try new flavors and ingredients.
182,35-44,High,North,Weekly,No preference,No preference,A healthy alternative to junk food.
183,45-54,High,North,Never,Vegan,NourishAI,A way to try new flavors and ingredients.
184,35-44,Medium,West,Monthly,Vegan,Competitor C,A guilty pleasure for movie nights.
185,55-64,Medium,North,Rarely,High-protein,No preference,A healthy alternative to junk food.
186,35-44,Low,West,Weekly,No preference,NourishAI,A guilty pleasure for movie nights.
187,55-64,Medium,East,Daily,Low-calorie,Competitor C,Something crunchy and tasty to enjoy.
188,35-44,Medium,West,Rarely,Organic,Competitor B,A quick energy boost during work.
189,45-54,High,West,Monthly,Vegan,No preference,A guilty pleasure for movie nights.
190,55-64,High,North,Never,Organic,Competitor A,A healthy alternative to junk food.
191,65+,High,West,Rarely,Gluten-free,Competitor B,A healthy alternative to junk food.
192,18-24,High,East,Monthly,Vegan,No preference,A healthy alternative to junk food.
193,18-24,High,West,Never,Low-calorie,Competitor A,A way to try new flavors and ingredients.
194,55-64,Medium,West,Rarely,Vegan,Competitor C,Something crunchy and tasty to enjoy.
195,18-24,Medium,West,Monthly,High-protein,NourishAI,A quick energy boost during work.
196,18-24,Low,East,Never,Low-calorie,Competitor B,A way to try new flavors and ingredients.
197,45-54,Medium,East,Never,Vegan,NourishAI,A healthy alternative to junk food.
198,25-34,Low,North,Rarely,Gluten-free,No preference,A way to try new flavors and ingredients.
199,45-54,High,West,Weekly,Low-calorie,Competitor C,A guilty pleasure for movie nights.
200,25-34,Medium,South,Weekly,High-protein,Competitor C,A way to try new flavors and ingredients.
201,35-44,Medium,South,Monthly,No preference,NourishAI,A quick energy boost during work.
202,55-64,Medium,West,Never,No preference,Competitor A,A healthy alternative to junk food.
203,45-54,Medium,East,Never,Organic,Competitor C,A healthy alternative to junk food.
204,18-24,High,West,Rarely,Organic,Competitor C,A way to try new flavors and ingredients.
205,18-24,High,East,Weekly,No preference,Competitor C,A guilty pleasure for movie nights.
206,45-54,Low,West,Weekly,High-protein,NourishAI,Something crunchy and tasty to enjoy.
207,65+,High,South,Rarely,Vegan,No preference,Something crunchy and tasty to enjoy.
208,65+,Medium,East,Weekly,Vegan,Competitor A,A guilty pleasure for movie nights.
209,45-54,Low,East,Rarely,High-protein,Competitor C,A healthy alternative to junk food.
210,25-34,Low,North,Monthly,Gluten-free,Competitor C,Something crunchy and tasty to enjoy.
211,25-34,Low,North,Never,Gluten-free,No preference,Something crunchy and tasty to enjoy.
212,45-54,Low,North,Rarely,Organic,NourishAI,A guilty pleasure for movie nights.
213,35-44,Low,West,Monthly,High-protein,Competitor A,A healthy alternative to junk food.
214,18-24,Low,South,Monthly,Gluten-free,Competitor A,A guilty pleasure for movie nights.
215,65+,High,West,Weekly,No preference,Competitor C,A quick energy boost during work.
216,45-54,Low,West,Monthly,Low-calorie,Competitor A,A quick energy boost during work.
217,55-64,High,South,Monthly,Organic,No preference,A quick energy boost during work.
218,45-54,High,West,Weekly,High-protein,Competitor A,A quick energy boost during work.
219,55-64,Low,South,Weekly,No preference,Competitor C,A healthy alternative to junk food.
220,55-64,Low,South,Rarely,Vegan,NourishAI,Something crunchy and tasty to enjoy.
221,45-54,Medium,West,Monthly,High-protein,Competitor B,A way to try new flavors and ingredients.
222,35-44,Medium,South,Rarely,High-protein,Competitor A,A way to try new flavors and ingredients.
223,65+,Medium,North,Monthly,High-protein,No preference,A healthy alternative to junk food.
224,18-24,Low,North,Never,Organic,NourishAI,Something crunchy and tasty to enjoy.
225,35-44,High,East,Rarely,Vegan,NourishAI,A way to try new flavors and ingredients.
226,18-24,High,West,Never,Vegan,NourishAI,Something crunchy and tasty to enjoy.
227,25-34,Low,East,Daily,Low-calorie,NourishAI,Something crunchy and tasty to enjoy.
228,25-34,High,East,Monthly,High-protein,Competitor B,A way to try new flavors and ingredients.
229,65+,High,West,Monthly,High-protein,Competitor A,Something crunchy and tasty to enjoy.
230,25-34,Low,South,Monthly,High-protein,Competitor A,A quick energy boost during work.
231,65+,Low,South,Daily,No preference,NourishAI,A quick energy boost during work.
232,55-64,Low,South,Weekly,High-protein,Competitor C,A healthy alternative to junk food.
233,18-24,High,South,Weekly,Vegan,No preference,A guilty pleasure for movie nights.
234,18-24,High,South,Monthly,Low-calorie,No preference,Something crunchy and tasty to enjoy.
235,35-44,High,North,Monthly,Organic,NourishAI,A healthy alternative to junk food.
236,18-24,Medium,West,Rarely,High-protein,Competitor A,A quick energy boost during work.
237,18-24,High,North,Monthly,Low-calorie,NourishAI,A healthy alternative to junk food.
238,25-34,Low,East,Weekly,Organic,NourishAI,A quick energy boost during work.
239,65+,Low,West,Monthly,Vegan,No preference,Something crunchy and tasty to enjoy.
240,25-34,Low,West,Monthly,Low-calorie,No preference,A guilty pleasure for movie nights.
241,25-34,High,West,Daily,Low-calorie,Competitor B,A guilty pleasure for movie nights.
242,55-64,High,North,Weekly,No preference,No preference,A way to try new flavors and ingredients.
243,65+,High,West,Monthly,No preference,NourishAI,A way to try new flavors and ingredients.
244,18-24,Low,North,Rarely,High-protein,Competitor B,A healthy alternative to junk food.
245,18-24,High,North,Monthly,High-protein,NourishAI,Something crunchy and tasty to enjoy.
246,25-34,Low,South,Weekly,High-protein,Competitor C,A healthy alternative to junk food.
247,55-64,Low,West,Rarely,Gluten-free,Competitor B,A quick energy boost during work.
248,25-34,Medium,South,Daily,Organic,NourishAI,A way to try new flavors and ingredients.
249,45-54,High,South,Monthly,High-protein,NourishAI,A quick energy boost during work.
250,45-54,High,North,Rarely,Low-calorie,Competitor C,A way to try new flavors and ingredients.
