CustomerID,Age Group,Income Level,Region,Purchase Frequency,Health Preference,Brand Recall,Snack Perception
502,65+,High,East,Never,Organic,No preference,A quick energy boost during work.
503,45-54,Medium,East,Weekly,Organic,No preference,A way to try new flavors and ingredients.
504,25-34,High,South,Monthly,High-protein,NourishAI,A quick energy boost during work.
505,65+,Medium,South,Weekly,Low-calorie,NourishAI,Something crunchy and tasty to enjoy.
506,25-34,High,East,Weekly,No preference,Competitor C,A quick energy boost during work.
507,65+,Low,West,Weekly,No preference,Competitor A,A way to try new flavors and ingredients.
508,55-64,Low,South,Weekly,Low-calorie,NourishAI,A way to try new flavors and ingredients.
509,65+,Low,South,Never,Vegan,NourishAI,A guilty pleasure for movie nights.
510,18-24,Low,South,Weekly,No preference,NourishAI,Something crunchy and tasty to enjoy.
511,45-54,Medium,West,Daily,Low-calorie,Competitor C,Something crunchy and tasty to enjoy.
512,45-54,Low,West,Monthly,Low-calorie,Competitor B,Something crunchy and tasty to enjoy.
513,45-54,Low,South,Monthly,Low-calorie,Competitor A,A way to try new flavors and ingredients.
514,55-64,Medium,South,Daily,High-protein,No preference,A quick energy boost during work.
515,25-34,Medium,South,Daily,High-protein,Competitor C,A guilty pleasure for movie nights.
516,35-44,Low,North,Rarely,No preference,NourishAI,A healthy alternative to junk food.
517,65+,Low,West,Rarely,High-protein,Competitor A,A way to try new flavors and ingredients.
518,35-44,High,East,Monthly,No preference,NourishAI,Something crunchy and tasty to enjoy.
519,55-64,Medium,East,Daily,Organic,No preference,A quick energy boost during work.
520,65+,High,North,Weekly,No preference,NourishAI,A healthy alternative to junk food.
521,35-44,Medium,North,Weekly,Organic,No preference,A guilty pleasure for movie nights.
522,25-34,High,East,Weekly,Low-calorie,Competitor B,A quick energy boost during work.
523,55-64,Medium,North,Weekly,Gluten-free,NourishAI,A healthy alternative to junk food.
524,65+,High,West,Monthly,Organic,Competitor A,A quick energy boost during work.
525,55-64,Low,West,Daily,No preference,NourishAI,A healthy alternative to junk food.
526,55-64,Low,North,Weekly,Gluten-free,Competitor A,A way to try new flavors and ingredients.
527,25-34,Medium,West,Weekly,Organic,Competitor C,A way to try new flavors and ingredients.
528,35-44,Low,South,Daily,Low-calorie,No preference,A way to try new flavors and ingredients.
529,25-34,Low,West,Weekly,No preference,NourishAI,Something crunchy and tasty to enjoy.
530,25-34,High,North,Monthly,High-protein,NourishAI,A guilty pleasure for movie nights.
531,45-54,High,East,Weekly,High-protein,No preference,A quick energy boost during work.
532,55-64,Medium,South,Rarely,High-protein,No preference,A healthy alternative to junk food.
533,18-24,Medium,West,Weekly,High-protein,Competitor C,Something crunchy and tasty to enjoy.
534,35-44,Low,East,Rarely,High-protein,NourishAI,A quick energy boost during work.
535,65+,Medium,South,Weekly,High-protein,Competitor A,A guilty pleasure for movie nights.
536,65+,Medium,South,Rarely,Low-calorie,NourishAI,Something crunchy and tasty to enjoy.
537,18-24,Medium,South,Rarely,High-protein,Competitor B,A quick energy boost during work.
538,35-44,High,East,Monthly,No preference,NourishAI,Something crunchy and tasty to enjoy.
539,25-34,High,North,Rarely,Gluten-free,Competitor A,Something crunchy and tasty to enjoy.
540,25-34,Low,North,Weekly,Vegan,Competitor B,A way to try new flavors and ingredients.
541,18-24,Low,East,Daily,Organic,Competitor A,A way to try new flavors and ingredients.
542,25-34,High,East,Rarely,Organic,NourishAI,A healthy alternative to junk food.
543,45-54,High,East,Never,Gluten-free,Competitor C,A guilty pleasure for movie nights.
544,65+,Medium,North,Rarely,Vegan,NourishAI,A guilty pleasure for movie nights.
545,35-44,Medium,South,Rarely,Organic,NourishAI,Something crunchy and tasty to enjoy.
546,65+,Low,East,Monthly,Gluten-free,Competitor B,A healthy alternative to junk food.
547,55-64,Low,North,Rarely,Organic,NourishAI,Something crunchy and tasty to enjoy.
548,55-64,Medium,East,Monthly,High-protein,NourishAI,A guilty pleasure for movie nights.
549,35-44,High,South,Rarely,Gluten-free,Competitor A,A quick energy boost during work.
550,45-54,Low,North,Rarely,No preference,Competitor C,Something crunchy and tasty to enjoy.
551,35-44,Low,South,Weekly,Gluten-free,NourishAI,Something crunchy and tasty to enjoy.
552,25-34,Medium,South,Monthly,No preference,Competitor B,A way to try new flavors and ingredients.
553,35-44,Low,South,Never,No preference,Competitor B,Something crunchy and tasty to enjoy.
554,25-34,Low,East,Rarely,No preference,No preference,Something crunchy and tasty to enjoy.
555,65+,High,South,Monthly,Organic,NourishAI,Something crunchy and tasty to enjoy.
556,18-24,Low,North,Weekly,Vegan,Competitor A,Something crunchy and tasty to enjoy.
557,18-24,High,North,Monthly,High-protein,Competitor B,A quick energy boost during work.
558,45-54,Medium,North,Monthly,No preference,Competitor C,A guilty pleasure for movie nights.
559,18-24,High,North,Rarely,Low-calorie,NourishAI,A quick energy boost during work.
560,25-34,High,West,Rarely,Organic,Competitor C,A quick energy boost during work.
561,35-44,High,North,Weekly,Vegan,Competitor C,A healthy alternative to junk food.
562,25-34,Low,West,Weekly,Organic,NourishAI,A quick energy boost during work.
563,65+,High,East,Rarely,No preference,Competitor B,A healthy alternative to junk food.
564,65+,Low,West,Weekly,High-protein,Competitor C,A guilty pleasure for movie nights.
565,25-34,Low,West,Never,Gluten-free,Competitor C,A guilty pleasure for movie nights.
566,25-34,High,West,Weekly,Vegan,NourishAI,A healthy alternative to junk food.
567,18-24,High,North,Monthly,No preference,Competitor B,A guilty pleasure for movie nights.
568,55-64,Medium,West,Monthly,Gluten-free,NourishAI,A quick energy boost during work.
569,18-24,Low,East,Rarely,Organic,NourishAI,A way to try new flavors and ingredients.
570,55-64,High,East,Daily,Vegan,Competitor B,A guilty pleasure for movie nights.
571,35-44,Medium,South,Monthly,No preference,No preference,Something crunchy and tasty to enjoy.
572,65+,High,East,Rarely,High-protein,Competitor A,A healthy alternative to junk food.
573,45-54,Medium,South,Daily,No preference,Competitor B,A way to try new flavors and ingredients.
574,65+,Medium,South,Rarely,High-protein,No preference,Something crunchy and tasty to enjoy.
575,45-54,Medium,West,Monthly,Vegan,NourishAI,A guilty pleasure for movie nights.
576,55-64,Low,North,Weekly,Gluten-free,Competitor A,A guilty pleasure for movie nights.
577,55-64,Low,West,Daily,Low-calorie,Competitor A,A way to try new flavors and ingredients.
578,18-24,High,South,Rarely,Vegan,No preference,Something crunchy and tasty to enjoy.
579,35-44,Low,West,Rarely,Low-calorie,Competitor B,Something crunchy and tasty to enjoy.
580,55-64,Low,West,Daily,High-protein,Competitor A,A healthy alternative to junk food.
581,18-24,High,South,Weekly,Organic,Competitor A,Something crunchy and tasty to enjoy.
582,65+,Medium,West,Weekly,No preference,NourishAI,A quick energy boost during work.
583,45-54,Medium,West,Monthly,Organic,Competitor B,A way to try new flavors and ingredients.
584,35-44,High,South,Rarely,Gluten-free,Competitor A,A way to try new flavors and ingredients.
585,25-34,Medium,South,Rarely,No preference,No preference,A guilty pleasure for movie nights.
586,65+,High,East,Monthly,Vegan,Competitor B,A quick energy boost during work.
587,35-44,Medium,East,Rarely,Vegan,Competitor A,A healthy alternative to junk food.
588,18-24,High,North,Rarely,Organic,Competitor B,Something crunchy and tasty to enjoy.
589,18-24,Low,West,Never,Organic,NourishAI,A way to try new flavors and ingredients.
590,18-24,Medium,South,Daily,Organic,NourishAI,A way to try new flavors and ingredients.
591,35-44,High,East,Daily,Vegan,NourishAI,A guilty pleasure for movie nights.
592,18-24,Medium,North,Weekly,Vegan,Competitor A,A way to try new flavors and ingredients.
593,18-24,Medium,East,Never,Organic,No preference,A healthy alternative to junk food.
594,55-64,Medium,South,Weekly,High-protein,No preference,A guilty pleasure for movie nights.
595,65+,High,East,Weekly,Low-calorie,NourishAI,A quick energy boost during work.
596,45-54,Low,South,Monthly,Organic,Competitor B,A guilty pleasure for movie nights.
597,55-64,Medium,West,Weekly,No preference,No preference,A guilty pleasure for movie nights.
598,18-24,High,West,Monthly,Vegan,Competitor A,A way to try new flavors and ingredients.
599,35-44,Medium,North,Weekly,High-protein,Competitor B,A quick energy boost during work.
600,35-44,Medium,West,Rarely,No preference,NourishAI,A guilty pleasure for movie nights.
601,35-44,High,South,Never,No preference,Competitor C,A healthy alternative to junk food.
602,18-24,Medium,East,Rarely,Organic,NourishAI,A guilty pleasure for movie nights.
603,25-34,Medium,East,Monthly,Low-calorie,Competitor B,Something crunchy and tasty to enjoy.
604,35-44,Low,North,Weekly,Low-calorie,NourishAI,A guilty pleasure for movie nights.
605,18-24,Medium,East,Monthly,Vegan,NourishAI,Something crunchy and tasty to enjoy.
606,35-44,Medium,South,Rarely,Vegan,NourishAI,Something crunchy and tasty to enjoy.
607,18-24,Low,West,Rarely,No preference,Competitor B,A quick energy boost during work.
608,35-44,Medium,North,Weekly,Organic,NourishAI,A healthy alternative to junk food.
609,25-34,Low,East,Weekly,Low-calorie,Competitor A,A quick energy boost during work.
610,65+,High,East,Monthly,Low-calorie,NourishAI,A guilty pleasure for movie nights.
611,35-44,Low,South,Monthly,Organic,Competitor A,A guilty pleasure for movie nights.
612,18-24,Low,South,Rarely,Vegan,Competitor C,A quick energy boost during work.
613,35-44,Low,West,Weekly,Organic,NourishAI,Something crunchy and tasty to enjoy.
614,45-54,Medium,South,Rarely,No preference,NourishAI,Something crunchy and tasty to enjoy.
615,45-54,Low,West,Rarely,Organic,Competitor C,Something crunchy and tasty to enjoy.
616,45-54,Low,North,Never,Vegan,Competitor A,A quick energy boost during work.
617,65+,Medium,North,Weekly,High-protein,Competitor B,A quick energy boost during work.
618,65+,Medium,West,Weekly,Low-calorie,NourishAI,A way to try new flavors and ingredients.
619,65+,Low,East,Rarely,Organic,No preference,Something crunchy and tasty to enjoy.
620,45-54,Low,North,Monthly,No preference,Competitor C,A healthy alternative to junk food.
621,25-34,Low,East,Never,Low-calorie,NourishAI,A healthy alternative to junk food.
622,45-54,Medium,East,Monthly,Gluten-free,Competitor A,Something crunchy and tasty to enjoy.
623,55-64,Low,North,Monthly,High-protein,Competitor A,A healthy alternative to junk food.
624,65+,Medium,South,Weekly,High-protein,NourishAI,A way to try new flavors and ingredients.
625,35-44,Low,North,Daily,Vegan,Competitor B,A way to try new flavors and ingredients.
626,45-54,High,North,Monthly,Low-calorie,NourishAI,A guilty pleasure for movie nights.
627,45-54,Medium,East,Rarely,Organic,NourishAI,A quick energy boost during work.
628,35-44,Low,West,Weekly,Vegan,Competitor A,A guilty pleasure for movie nights.
629,55-64,High,West,Weekly,Low-calorie,Competitor A,A guilty pleasure for movie nights.
630,18-24,High,North,Monthly,High-protein,No preference,A guilty pleasure for movie nights.
631,65+,Medium,West,Monthly,Low-calorie,NourishAI,A healthy alternative to junk food.
632,18-24,Medium,South,Monthly,Low-calorie,Competitor A,A way to try new flavors and ingredients.
633,25-34,Low,South,Weekly,High-protein,NourishAI,Something crunchy and tasty to enjoy.
634,35-44,Low,East,Weekly,Vegan,No preference,A way to try new flavors and ingredients.
635,35-44,High,South,Daily,Low-calorie,NourishAI,A guilty pleasure for movie nights.
636,35-44,High,East,Monthly,Vegan,Competitor C,A quick energy boost during work.
637,18-24,Medium,East,Weekly,High-protein,NourishAI,A healthy alternative to junk food.
638,18-24,Medium,South,Weekly,High-protein,NourishAI,Something crunchy and tasty to enjoy.
639,45-54,Low,North,Monthly,Vegan,Competitor A,A healthy alternative to junk food.
640,35-44,High,East,Monthly,Low-calorie,Competitor C,A quick energy boost during work.
641,65+,Medium,South,Monthly,Organic,No preference,A guilty pleasure for movie nights.
642,35-44,Medium,North,Daily,Vegan,Competitor C,Something crunchy and tasty to enjoy.
643,25-34,Low,South,Monthly,Gluten-free,NourishAI,Something crunchy and tasty to enjoy.
644,18-24,Medium,North,Daily,Low-calorie,NourishAI,A guilty pleasure for movie nights.
645,55-64,High,East,Weekly,High-protein,Competitor A,Something crunchy and tasty to enjoy.
646,35-44,Medium,South,Weekly,Low-calorie,NourishAI,A guilty pleasure for movie nights.
647,18-24,Medium,North,Monthly,No preference,Competitor A,A healthy alternative to junk food.
648,35-44,Low,North,Weekly,Vegan,Competitor C,Something crunchy and tasty to enjoy.
649,45-54,High,North,Rarely,Gluten-free,NourishAI,A guilty pleasure for movie nights.
650,55-64,High,South,Monthly,High-protein,No preference,A healthy alternative to junk food.
651,55-64,Medium,South,Daily,No preference,NourishAI,Something crunchy and tasty to enjoy.
652,18-24,High,South,Daily,Low-calorie,Competitor B,Something crunchy and tasty to enjoy.
653,45-54,Low,South,Monthly,Organic,Competitor B,A way to try new flavors and ingredients.
654,35-44,Medium,East,Monthly,No preference,No preference,A quick energy boost during work.
655,35-44,Medium,South,Rarely,No preference,Competitor A,A guilty pleasure for movie nights.
656,65+,Low,North,Weekly,No preference,NourishAI,A healthy alternative to junk food.
657,45-54,High,East,Rarely,Organic,Competitor B,A healthy alternative to junk food.
658,35-44,High,North,Weekly,Organic,Competitor B,A guilty pleasure for movie nights.
659,35-44,High,North,Monthly,Gluten-free,NourishAI,A way to try new flavors and ingredients.
660,65+,High,South,Weekly,High-protein,Competitor A,A way to try new flavors and ingredients.
661,25-34,Medium,North,Rarely,High-protein,NourishAI,A guilty pleasure for movie nights.
662,18-24,High,East,Monthly,High-protein,Competitor C,Something crunchy and tasty to enjoy.
663,25-34,Medium,East,Daily,Gluten-free,NourishAI,A healthy alternative to junk food.
664,65+,High,East,Never,Gluten-free,NourishAI,A quick energy boost during work.
665,55-64,Medium,East,Monthly,Vegan,Competitor B,A healthy alternative to junk food.
666,45-54,Low,South,Monthly,High-protein,NourishAI,A quick energy boost during work.
667,55-64,Medium,East,Rarely,Organic,NourishAI,A healthy alternative to junk food.
668,65+,High,North,Monthly,Vegan,Competitor A,A way to try new flavors and ingredients.
669,25-34,Medium,West,Rarely,No preference,Competitor B,A healthy alternative to junk food.
670,25-34,Medium,North,Weekly,Vegan,No preference,A way to try new flavors and ingredients.
671,25-34,Low,West,Daily,High-protein,Competitor B,Something crunchy and tasty to enjoy.
672,65+,Medium,West,Monthly,Low-calorie,Competitor C,A way to try new flavors and ingredients.
673,55-64,Low,North,Monthly,Organic,Competitor B,A guilty pleasure for movie nights.
674,35-44,High,West,Monthly,Organic,NourishAI,A healthy alternative to junk food.
675,25-34,Low,East,Monthly,Organic,No preference,A healthy alternative to junk food.
676,35-44,High,South,Monthly,High-protein,Competitor A,A way to try new flavors and ingredients.
677,35-44,Low,East,Rarely,High-protein,Competitor A,A healthy alternative to junk food.
678,45-54,High,North,Monthly,High-protein,NourishAI,A guilty pleasure for movie nights.
679,25-34,Low,West,Rarely,Gluten-free,Competitor C,A guilty pleasure for movie nights.
680,45-54,Medium,South,Monthly,Gluten-free,Competitor C,A way to try new flavors and ingredients.
681,45-54,Low,East,Monthly,Organic,NourishAI,A quick energy boost during work.
682,25-34,Medium,East,Weekly,Gluten-free,Competitor C,A healthy alternative to junk food.
683,45-54,Medium,North,Rarely,High-protein,No preference,A guilty pleasure for movie nights.
684,25-34,Low,East,Rarely,Low-calorie,NourishAI,A guilty pleasure for movie nights.
685,65+,High,South,Monthly,Low-calorie,NourishAI,A quick energy boost during work.
686,25-34,High,East,Monthly,Gluten-free,Competitor A,A way to try new flavors and ingredients.
687,35-44,High,South,Weekly,High-protein,NourishAI,Something crunchy and tasty to enjoy.
688,18-24,Medium,West,Weekly,Gluten-free,No preference,A guilty pleasure for movie nights.
689,18-24,Medium,East,Never,Gluten-free,NourishAI,A way to try new flavors and ingredients.
690,25-34,Low,East,Monthly,No preference,NourishAI,A guilty pleasure for movie nights.
691,55-64,Medium,South,Monthly,No preference,No preference,A way to try new flavors and ingredients.
692,65+,High,East,Never,Organic,Competitor A,A quick energy boost during work.
693,55-64,High,West,Weekly,High-protein,Competitor C,Something crunchy and tasty to enjoy.
694,55-64,Medium,West,Daily,High-protein,Competitor C,Something crunchy and tasty to enjoy.
695,55-64,Low,West,Never,Gluten-free,Competitor B,A healthy alternative to junk food.
696,45-54,Low,West,Weekly,No preference,NourishAI,A way to try new flavors and ingredients.
697,45-54,Low,South,Daily,Vegan,No preference,A guilty pleasure for movie nights.
698,55-64,Low,North,Monthly,Organic,NourishAI,Something crunchy and tasty to enjoy.
699,25-34,Low,North,Monthly,Vegan,Competitor A,A way to try new flavors and ingredients.
700,35-44,Low,South,Never,No preference,NourishAI,Something crunchy and tasty to enjoy.
701,35-44,High,North,Daily,High-protein,No preference,A guilty pleasure for movie nights.
702,65+,High,North,Weekly,No preference,Competitor C,A way to try new flavors and ingredients.
703,18-24,Low,West,Monthly,No preference,NourishAI,Something crunchy and tasty to enjoy.
704,45-54,Medium,West,Weekly,Low-calorie,No preference,A guilty pleasure for movie nights.
705,45-54,Low,East,Rarely,Gluten-free,Competitor B,A way to try new flavors and ingredients.
706,65+,Medium,South,Monthly,Organic,NourishAI,Something crunchy and tasty to enjoy.
707,25-34,Medium,North,Weekly,No preference,NourishAI,A way to try new flavors and ingredients.
708,25-34,Low,West,Never,High-protein,No preference,A way to try new flavors and ingredients.
709,55-64,Low,North,Never,Vegan,Competitor B,A guilty pleasure for movie nights.
710,18-24,Medium,South,Weekly,No preference,Competitor A,A healthy alternative to junk food.
711,35-44,Medium,East,Weekly,Gluten-free,Competitor A,A quick energy boost during work.
712,35-44,Medium,West,Rarely,Organic,NourishAI,Something crunchy and tasty to enjoy.
713,18-24,High,East,Monthly,No preference,Competitor C,A quick energy boost during work.
714,45-54,Medium,North,Rarely,Gluten-free,Competitor C,A quick energy boost during work.
715,35-44,Low,East,Monthly,Organic,NourishAI,A way to try new flavors and ingredients.
716,35-44,Medium,North,Rarely,High-protein,Competitor C,A quick energy boost during work.
717,45-54,Medium,East,Rarely,No preference,NourishAI,A guilty pleasure for movie nights.
718,55-64,Low,West,Weekly,Organic,No preference,A healthy alternative to junk food.
719,55-64,High,North,Never,Vegan,NourishAI,Something crunchy and tasty to enjoy.
720,45-54,Medium,North,Monthly,Gluten-free,Competitor B,A way to try new flavors and ingredients.
721,18-24,High,North,Monthly,Low-calorie,NourishAI,A guilty pleasure for movie nights.
722,45-54,Low,East,Never,Low-calorie,Competitor A,A healthy alternative to junk food.
723,45-54,High,North,Weekly,Vegan,Competitor A,A quick energy boost during work.
724,18-24,Low,West,Monthly,Gluten-free,Competitor A,A quick energy boost during work.
725,55-64,Low,North,Weekly,Low-calorie,No preference,Something crunchy and tasty to enjoy.
726,25-34,Medium,North,Rarely,Low-calorie,No preference,A healthy alternative to junk food.
727,55-64,Medium,South,Weekly,Gluten-free,Competitor C,A way to try new flavors and ingredients.
728,18-24,Medium,West,Monthly,Organic,Competitor B,A healthy alternative to junk food.
729,65+,Low,West,Never,Vegan,No preference,A quick energy boost during work.
730,55-64,Low,West,Rarely,No preference,Competitor B,A guilty pleasure for movie nights.
731,45-54,Low,East,Weekly,No preference,Competitor A,A guilty pleasure for movie nights.
732,45-54,Medium,South,Never,Organic,Competitor A,A guilty pleasure for movie nights.
733,25-34,Low,South,Monthly,Low-calorie,Competitor C,A way to try new flavors and ingredients.
734,35-44,Low,East,Monthly,No preference,NourishAI,Something crunchy and tasty to enjoy.
735,55-64,High,North,Never,Organic,NourishAI,A guilty pleasure for movie nights.
736,55-64,High,North,Monthly,Vegan,NourishAI,Something crunchy and tasty to enjoy.
737,18-24,High,North,Monthly,Low-calorie,NourishAI,A healthy alternative to junk food.
738,45-54,High,East,Never,Organic,No preference,Something crunchy and tasty to enjoy.
739,18-24,Low,West,Daily,Gluten-free,NourishAI,A guilty pleasure for movie nights.
740,45-54,High,West,Weekly,Vegan,Competitor A,A way to try new flavors and ingredients.
741,45-54,Low,North,Monthly,Vegan,Competitor A,Something crunchy and tasty to enjoy.
742,18-24,High,West,Weekly,Vegan,NourishAI,A guilty pleasure for movie nights.
743,65+,Medium,North,Monthly,Low-calorie,Competitor A,A healthy alternative to junk food.
744,25-34,High,West,Monthly,Vegan,Competitor C,A healthy alternative to junk food.
745,18-24,Low,East,Never,No preference,Competitor A,A quick energy boost during work.
746,45-54,High,South,Weekly,Low-calorie,No preference,A quick energy boost during work.
747,55-64,Medium,East,Weekly,Gluten-free,NourishAI,Something crunchy and tasty to enjoy.
748,55-64,Medium,North,Weekly,No preference,NourishAI,A quick energy boost during work.
749,18-24,Medium,West,Monthly,Gluten-free,Competitor B,Something crunchy and tasty to enjoy.
750,45-54,Medium,West,Weekly,Gluten-free,Competitor B,A way to try new flavors and ingredients.
